Pricing Date,MSAG | Share Price (Daily)($)
11/27/2023,1.7925456334025576
11/24/2023,1.804461942257218
11/23/2023,1.842966194111232
11/22/2023,1.890893284068681
11/21/2023,1.8467927002513387
11/20/2023,1.871101871101871
11/17/2023,1.9050729370781627
11/16/2023,1.8900716923745386
11/15/2023,1.9120043454644216
11/14/2023,1.8341654004775343
11/13/2023,1.7969836346133274
11/10/2023,1.8032437046521552
11/09/2023,1.810391001606856
11/08/2023,1.7991004497751124
11/07/2023,1.7420113284172276
11/06/2023,1.729323308270677
11/03/2023,1.7074742268041236
11/02/2023,1.6135881104033971
11/01/2023,1.612733213871614
10/31/2023,1.6164817749603806
10/30/2023,1.6551724137931036
10/27/2023,1.631183137379515
10/26/2023,1.6322662173546756
10/25/2023,1.5562142705907263
10/24/2023,1.609487505294367
10/23/2023,1.5957446808510638
10/20/2023,1.588814744200826
10/19/2023,1.639344262295082
10/18/2023,1.653850205414516
10/17/2023,1.6405588484335312
10/16/2023,1.7085003163889474
10/13/2023,1.7007874015748032
10/12/2023,1.719772103819371
10/11/2023,1.73036093418259
10/10/2023,1.7493638676844783
10/09/2023,1.7399557102182852
10/06/2023,1.723955579058699
10/05/2023,1.7056222362602655
10/04/2023,1.7025748817656334
10/03/2023,1.7578738097729412
10/02/2023,1.744613767735155
09/29/2023,1.7569856054191364
09/28/2023,1.7434488588334742
09/27/2023,1.756785188302125
09/26/2023,1.7660744500846024
09/25/2023,1.757915916551943
09/22/2023,1.7476555839727195
09/21/2023,1.8020899978673492
09/20/2023,1.8115553649908889
09/19/2023,1.794488357188635
09/18/2023,1.794488357188635
09/15/2023,1.8139137857447716
09/14/2023,1.8346666666666667
09/13/2023,1.8265821424734072
09/12/2023,1.813110181311018
09/11/2023,1.8484685652874797
09/08/2023,1.8427255196057424
09/07/2023,1.8405564472980205
09/06/2023,1.8324046292327476
09/05/2023,1.8320119991429185
09/04/2023,1.8444612231690216
09/01/2023,1.8134715025906734
08/31/2023,1.8438177874186552
08/30/2023,1.8915372840586049
08/29/2023,1.8542615484710474
08/28/2023,1.8476499189627227
08/25/2023,1.874595992243051
08/24/2023,1.8303909888443628
08/23/2023,1.833767361111111
08/22/2023,1.8339663591969613
08/21/2023,1.7855198693522045
08/18/2023,1.8053289831430126
08/17/2023,1.8165995866420102
08/16/2023,1.8435693247518272
08/15/2023,1.8682399213372665
08/14/2023,1.8118314778432656
08/11/2023,1.786692973802477
08/10/2023,1.8285966071821984
08/09/2023,1.7786561264822134
08/08/2023,1.7296113847837988
08/07/2023,1.738556338028169
08/04/2023,1.7661993597527321
08/03/2023,1.762838059783204
08/02/2023,1.7716535433070868
08/01/2023,1.7982456140350873
07/31/2023,1.796341194621997
07/28/2023,1.8304112912118202
07/27/2023,1.7804154302670625
07/26/2023,1.804894253128114
