Pricing Date,STMPA | Share Price (Daily)($)
09/24/2024,28.202698182629057
09/23/2024,27.64974393230906
09/20/2024,27.701047003787032
09/19/2024,29.121185119180215
09/18/2024,28.071150639244024
09/17/2024,28.42690383546415
09/16/2024,27.68631813125695
09/13/2024,28.556380973500385
09/12/2024,27.874641359523284
09/11/2024,27.703149086104382
09/10/2024,27.775327968250473
09/09/2024,28.81748923484598
09/06/2024,28.6697757050855
09/05/2024,29.52328159645233
09/04/2024,29.9645390070922
09/03/2024,30.21086332523736
09/02/2024,31.72161982739544
08/30/2024,31.821701139254504
08/29/2024,31.651528577758082
08/28/2024,30.898063654573782
08/27/2024,31.260466674109633
08/26/2024,31.16136236739252
08/23/2024,31.464069845533913
08/22/2024,31.006331222925688
08/21/2024,31.28339269813001
08/20/2024,30.870434106805817
08/19/2024,30.881539652693288
08/16/2024,30.539679050340734
08/15/2024,30.25043936731107
08/14/2024,29.655970889844525
08/13/2024,29.499397524372878
08/12/2024,29.365773646801532
08/09/2024,29.19807713318038
08/08/2024,29.183940650229108
08/07/2024,29.33974639265413
08/06/2024,29.091505411610363
08/05/2024,29.383366249725697
08/02/2024,30.490335262640603
08/01/2024,31.907894736842106
07/31/2024,33.116883116883116
07/30/2024,32.8616182348493
07/29/2024,33.61471861471861
07/26/2024,33.35142764086419
07/25/2024,34.70517971549571
07/24/2024,40.198632367307056
07/23/2024,40.36582718193661
07/22/2024,41.16782760121899
07/19/2024,40.03810560696788
07/18/2024,41.339441535776615
07/17/2024,42.06123564789503
07/16/2024,42.093807813690276
07/15/2024,42.501637197118534
07/12/2024,43.02617230098146
07/11/2024,42.200239156430044
07/10/2024,42.211517644511794
07/09/2024,41.30904767052211
07/08/2024,42.313109425785484
07/05/2024,42.14571830680957
07/04/2024,41.178378378378376
07/03/2024,40.91400172860847
07/02/2024,39.81640541120893
07/01/2024,38.864464936736006
06/28/2024,39.49962498660667
06/27/2024,38.8769938978696
06/26/2024,39.346363345081706
06/25/2024,39.84266295622391
06/24/2024,40.51067482029824
06/21/2024,40.61431623931624
06/20/2024,41.17552507501072
06/19/2024,41.04189044038668
06/18/2024,43.024379765868325
06/17/2024,42.6066909714776
06/14/2024,42.14889292972511
06/13/2024,43.83745963401507
06/12/2024,45.25436598329537
06/11/2024,43.3336908720369
06/10/2024,44.305973356252686
06/07/2024,44.752485948984
06/06/2024,44.853101196953205
06/05/2024,43.70857329131805
06/04/2024,42.491838955386285
06/03/2024,41.69932505987373
05/31/2024,41.053031124606875
05/30/2024,40.97267404033831
05/29/2024,40.54726368159204
05/28/2024,41.90776593430498
05/27/2024,41.687479639483115
05/24/2024,41.95701725822207
05/23/2024,42.10412382292456
05/22/2024,42.07389749702026
05/21/2024,40.91205211726385
05/20/2024,42.02780493103074
05/17/2024,41.6612307023266
05/16/2024,42.23913043478261
05/15/2024,42.364960330398866
05/14/2024,41.56209433145824
05/13/2024,40.782514840798704
05/10/2024,40.55465805061928
05/09/2024,40.50748841719642
05/08/2024,40.263299301450836
05/07/2024,41.30106715533039
05/06/2024,40.10882448012068
05/03/2024,40.0786383712162
05/02/2024,38.79854498769659
04/30/2024,40.25342172797262
04/29/2024,40.876459873566915
04/26/2024,41.277890466531446
04/25/2024,42.48527048741296
04/24/2024,41.91066467193845
04/23/2024,39.81917397817248
04/22/2024,39.058009579563596
04/19/2024,39.157333333333334
04/18/2024,40.06717850287909
04/17/2024,40.47239067985956
04/16/2024,40.376235519183766
04/15/2024,41.270600744284955
04/12/2024,41.506222742261464
04/11/2024,42.219128199635854
04/10/2024,42.375886524822704
04/09/2024,42.976552323056886
04/08/2024,42.41749891445941
04/05/2024,41.72712506767731
04/04/2024,42.81990006517489
04/03/2024,42.587177821095956
04/02/2024,41.9340943355589
03/28/2024,43.119464247137614
03/27/2024,43.74594243670201
03/26/2024,43.1362996643932
03/25/2024,43.227868674829345
03/22/2024,43.18992541346881
03/21/2024,43.99500488652405
03/20/2024,43.35577027467159
03/19/2024,43.440486533449175
03/18/2024,44.81409001956948
03/15/2024,45.07839721254356
03/14/2024,46.69970591438841
03/13/2024,47.597679763598556
03/12/2024,48.37318484550715
03/11/2024,47.60681892689323
03/08/2024,47.56457968476357
03/07/2024,48.52459016393442
03/06/2024,46.76768777935244
03/05/2024,46.08237339708759
03/04/2024,46.60041272944498
03/01/2024,46.865865540759984
02/29/2024,45.10323208301806
02/28/2024,45.1679306608884
02/27/2024,46.72273467173087
02/26/2024,44.89043176394012
02/23/2024,44.94752785892027
02/22/2024,45.65170362358031
02/21/2024,44.328503460207614
02/20/2024,44.298387969274046
02/19/2024,44.96608161946808
02/16/2024,45.857573798750266
02/15/2024,45.33620225927919
02/14/2024,44.72272873538561
02/13/2024,44.6778861614321
02/12/2024,46.54206614241085
02/09/2024,46.04809143843002
02/08/2024,45.05920344456405
02/07/2024,43.49580374435119
02/06/2024,43.949489521762494
02/05/2024,44.19178376059209
02/02/2024,43.36894356318118
02/01/2024,43.94662616619657
01/31/2024,44.390799609417385
01/30/2024,44.5323507098732
01/29/2024,44.241573033707866
01/26/2024,44.87179487179487
01/25/2024,45.95751598569416
01/24/2024,46.43635571054926
01/23/2024,45.88796185935638
01/22/2024,45.25754110857019
01/19/2024,44.09620198062901
01/18/2024,43.80704041720991
01/17/2024,42.21040060796874
01/16/2024,43.37690631808279
01/15/2024,43.39209460199278
01/12/2024,43.562184689624914
01/11/2024,43.71578716881979
01/10/2024,44.16858489531952
01/09/2024,44.471153846153854
01/08/2024,45.30838454784898
01/05/2024,44.96655335014804
01/04/2024,45.3041095890411
01/03/2024,46.976642654442266
01/02/2024,48.86014905743095
12/29/2023,50.01105338786338
12/28/2023,50.409836065573764
12/27/2023,50.78959074733096
12/22/2023,50.1100957833315
12/21/2023,50.04397053973838
12/20/2023,50.29072956664838
12/19/2023,50.30189922055111
12/18/2023,49.694256387857614
12/15/2023,51.091345629160756
12/14/2023,50.13194062671798
12/13/2023,47.766508416055245
12/12/2023,48.06301931585195
12/11/2023,47.80833691448217
12/08/2023,47.72067519621545
12/07/2023,47.302837415039384
12/06/2023,48.08418780356179
12/05/2023,47.54452239611441
12/04/2023,46.926739530353856
12/01/2023,47.496470077115234
11/30/2023,47.393390773257714
11/29/2023,47.19785040579073
11/28/2023,45.97297000329634
11/27/2023,45.491310525740516
11/24/2023,45.72944006999125
11/23/2023,45.35986913849509
11/22/2023,45.370571614866336
11/21/2023,45.251885039886346
11/20/2023,46.1757303862567
11/17/2023,45.640104506858265
11/16/2023,45.39973930045623
11/15/2023,45.92612710483433
11/14/2023,43.56956804862167
11/13/2023,41.362712589581776
11/10/2023,41.20251813913786
11/09/2023,41.306909480449924
11/08/2023,41.0152066823731
11/07/2023,40.92123543870899
11/06/2023,40.91836734693877
11/03/2023,41.258591065292094
11/02/2023,40.04246284501061
11/01/2023,38.08896384526194
10/31/2023,38.013734812466986
