Pricing Date,KOA | Share Price (Daily)($)
11/16/2023,0.19118062727370022
11/15/2023,0.19473817452435202
11/14/2023,0.18646174191533577
11/13/2023,0.1791350106119003
11/10/2023,0.17846205170377452
11/09/2023,0.18101076627591467
11/08/2023,0.18318720694966467
11/07/2023,0.1815406859988754
11/06/2023,0.18683587103608656
11/03/2023,0.1864049389156993
11/02/2023,0.18079819452168952
11/01/2023,0.1754120267260579
10/31/2023,0.17745720991470604
10/30/2023,0.17754749753879037
10/27/2023,0.1781833712831083
10/26/2023,0.1749981993325526
10/25/2023,0.17318002036253188
10/24/2023,0.17818459136899947
10/23/2023,0.18327754732790896
10/20/2023,0.193332650840689
10/19/2023,0.197117943445103
10/18/2023,0.19406213240674994
10/17/2023,0.19792263322838263
10/16/2023,0.19896879716145155
10/13/2023,0.1979370760771608
10/12/2023,0.20356875192272056
10/11/2023,0.2054712478462375
10/10/2023,0.2052306070943229
10/09/2023,0.2019177568470533
10/06/2023,0.1989925999626889
10/05/2023,0.19914178076399516
10/04/2023,0.19741163327650546
10/03/2023,0.2027496787673402
10/02/2023,0.20830095973834734
09/29/2023,0.2100438466529888
09/28/2023,0.20323478932103736
09/27/2023,0.20543374109383217
09/26/2023,0.20546127535786968
09/25/2023,0.2046940703554823
09/22/2023,0.20896576857367347
09/21/2023,0.2085629677228843
09/20/2023,0.21137855825245438
09/19/2023,0.21064765322153328
09/18/2023,0.20958377884556584
09/15/2023,0.2084153270864561
09/14/2023,0.21473299696183593
09/13/2023,0.21992715847939817
09/12/2023,0.22285291052455639
09/11/2023,0.21956018529378374
09/08/2023,0.20929702642562503
09/07/2023,0.21105057842973518
09/06/2023,0.2110330421307073
09/05/2023,0.21067880524608865
09/04/2023,0.20933255552658583
09/01/2023,0.21229831191924795
08/31/2023,0.21708043712789057
08/30/2023,0.22106704596320786
08/29/2023,0.21676164859067357
08/28/2023,0.2107727027918531
08/25/2023,0.20948698074790398
08/24/2023,0.2107174921249951
08/23/2023,0.21470624795181537
08/22/2023,0.21037934142610096
08/21/2023,0.21072396853439598
08/18/2023,0.2078459008691567
08/17/2023,0.20974986997021136
08/16/2023,0.21199235841498743
08/15/2023,0.2141348020491405
08/14/2023,0.21362234130468225
08/11/2023,0.21403091557669446
08/10/2023,0.2187640029507703
08/09/2023,0.22475533427469988
08/08/2023,0.22565297601708903
08/07/2023,0.2437185670174424
08/04/2023,0.2464880403804825
08/03/2023,0.2421826170394447
08/02/2023,0.24484660136775707
08/01/2023,0.2495313952931261
07/31/2023,0.2511353576005086
07/28/2023,0.24991316993210036
07/27/2023,0.25069954054867666
07/26/2023,0.2518214026432345
07/25/2023,0.2507375946831737
07/24/2023,0.2580084329063956
07/21/2023,0.25361977837990457
07/20/2023,0.25723306350055797
07/19/2023,0.25627571842327707
07/18/2023,0.25547815602074864
07/17/2023,0.25139639725020224
07/14/2023,0.25340684198473357
07/13/2023,0.2565081700751131
07/12/2023,0.25201832428601406
07/11/2023,0.2422265588521003
07/10/2023,0.2356126641806997
07/07/2023,0.237233629938131
07/06/2023,0.2281694862204706
07/05/2023,0.23429161985058278
07/04/2023,0.23136208071505754
07/03/2023,0.23071759904123187
06/30/2023,0.2289322187114307
06/29/2023,0.22788032392354338
06/28/2023,0.2262088674247169
06/27/2023,0.22561679897338782
06/26/2023,0.2292837124543253
06/23/2023,0.22625724529044627
06/22/2023,0.23093106867057056
06/21/2023,0.2347069106796316
06/20/2023,0.23141232033997383
06/19/2023,0.23549777710332112
06/16/2023,0.2423534412531945
06/15/2023,0.24269881077582717
06/14/2023,0.2425580294957391
06/13/2023,0.24217328447282216
06/12/2023,0.23606209878476195
06/09/2023,0.24194306335279114
06/08/2023,0.2366085616293659
06/07/2023,0.23802423568931402
06/06/2023,0.23906817499574057
06/05/2023,0.2339143141608754
06/02/2023,0.23579019210819846
06/01/2023,0.2327433859832551
05/31/2023,0.2266767133130907
05/30/2023,0.22917221139573554
05/26/2023,0.2354495852139103
05/25/2023,0.2391251852903644
05/24/2023,0.24254768142484442
05/23/2023,0.24552663452089857
05/22/2023,0.2434625623563213
05/19/2023,0.24149539252211633
05/16/2023,0.24150889828608996
05/15/2023,0.2472022652990526
05/12/2023,0.2399756844590961
05/11/2023,0.23561902562615053
05/10/2023,0.24469851619390023
05/09/2023,0.21961946486183062
05/08/2023,0.2469451266952449
05/05/2023,0.24506928174829962
05/04/2023,0.23560614103215974
05/03/2023,0.23404881244820439
05/02/2023,0.24007917622717145
05/01/2023,0.2441034686135407
04/28/2023,0.24618132793435665
04/27/2023,0.24440362694982393
04/26/2023,0.24007614650482081
04/25/2023,0.23927485643508614
04/24/2023,0.2427386520153173
04/21/2023,0.24262461299250082
04/20/2023,0.24017945483795441
04/19/2023,0.24314487555618208
04/18/2023,0.2556626017968992
04/17/2023,0.2520271960256075
04/14/2023,0.2507096872185164
04/13/2023,0.24791729106712102
04/12/2023,0.24457989721525036
04/11/2023,0.23721339471269298
04/10/2023,0.23003100294086662
04/07/2023,0.23087781191840032
04/06/2023,0.23208676061840017
04/05/2023,0.23232343562656882
04/04/2023,0.23630999133012237
04/03/2023,0.23611765915630137
03/31/2023,0.2290659444142231
03/30/2023,0.22568763600852
03/29/2023,0.21971310538738836
03/28/2023,0.21226653813712495
03/27/2023,0.20930841566480177
03/24/2023,0.20830479842943891
03/23/2023,0.21883537637937162
03/22/2023,0.21189531875368936
03/21/2023,0.2132804524199748
03/20/2023,0.21178829799307608
03/17/2023,0.21558162555288446
03/16/2023,0.21569491132491017
03/15/2023,0.2188018014188853
03/14/2023,0.2420422456520463
03/13/2023,0.2898858467832909
03/10/2023,0.30363369087711045
03/09/2023,0.290189234223899
03/08/2023,0.2943826523030505
03/07/2023,0.2904142668586513
03/06/2023,0.29868601160236036
03/03/2023,0.29958512348063093
03/02/2023,0.30299956167467074
03/01/2023,0.3022622076581745
02/28/2023,0.30288778829982216
02/27/2023,0.2994557892695652
02/24/2023,0.2950287084887193
02/23/2023,0.30232411664672165
02/22/2023,0.29970484787605745
02/21/2023,0.30630018391641683
02/20/2023,0.30653588063086185
02/17/2023,0.30619715145622795
02/16/2023,0.3041208670472247
02/15/2023,0.29987526361184613
02/14/2023,0.2981916594907122
02/13/2023,0.3007021989837453
02/10/2023,0.29563946560359883
02/09/2023,0.3014034281929494
02/08/2023,0.29914914929460673
02/07/2023,0.2832184404104548
02/06/2023,0.27925744226889415
02/03/2023,0.27970403730436955
02/02/2023,0.27566589293775945
02/01/2023,0.26639052851480266
01/31/2023,0.25959339708082524
01/30/2023,0.25613935267513827
01/27/2023,0.26039848859618503
01/26/2023,0.2600129198966408
01/25/2023,0.26052231301131784
01/24/2023,0.2636308194372426
01/23/2023,0.2609534177762284
01/20/2023,0.2600777602143769
01/19/2023,0.2565700769609536
01/18/2023,0.25661581308801457
01/17/2023,0.26107966983962244
01/16/2023,0.26105654206079204
01/13/2023,0.26197737284235334
01/12/2023,0.25984803925518285
01/11/2023,0.25928971424112746
01/10/2023,0.2586065294643179
01/09/2023,0.2662953933328875
01/06/2023,0.26212633770776206
01/05/2023,0.25750093392857665
01/04/2023,0.26196774806741857
