Pricing Date,BP. | Share Price (Daily)($)
03/28/2024,6.26619641751046
03/27/2024,6.222143659802276
03/26/2024,6.31156235793302
03/25/2024,6.395782500410879
03/22/2024,6.285516285516286
03/21/2024,6.292045152217703
03/20/2024,6.2772599534593905
03/19/2024,6.339130102917043
03/18/2024,6.275522536160901
03/15/2024,6.253263541308473
03/14/2024,6.249760850987846
03/13/2024,6.207046597642601
03/12/2024,6.101363525999003
03/11/2024,6.042787599282603
03/08/2024,6.06913751655161
03/07/2024,6.09125689352936
03/06/2024,6.104758626843601
03/05/2024,5.990560637093388
03/04/2024,5.964549182929772
03/01/2024,5.959465777137587
02/29/2024,5.820226138588845
02/28/2024,5.849899401470383
02/27/2024,5.916202464185563
02/26/2024,5.912185720987436
02/23/2024,5.906953755687074
02/22/2024,5.917668322400435
02/21/2024,5.9381193430703
02/20/2024,5.900169461517059
02/19/2024,5.975559107441761
02/16/2024,5.9431622155907275
02/15/2024,5.89526240992039
02/14/2024,5.980395848237257
02/13/2024,6.0428763965688805
02/12/2024,6.054502519289296
02/09/2024,6.04446971132588
02/08/2024,6.005674653215637
02/07/2024,5.991138265776286
02/06/2024,6.028243823236964
02/05/2024,5.688892786010448
02/02/2024,5.798622084571139
02/01/2024,5.91684773631177
01/31/2024,5.879847425301971
01/30/2024,5.936593583361833
01/29/2024,5.906894758867317
01/26/2024,5.873074427893605
01/25/2024,5.786472620136137
01/24/2024,5.7735204517354335
01/23/2024,5.714647584066873
01/22/2024,5.672410504228397
01/19/2024,5.648400380107698
01/18/2024,5.636760432923502
01/17/2024,5.680738686020444
01/16/2024,5.730176225406357
01/15/2024,5.769892117028188
01/12/2024,5.795612613417389
01/11/2024,5.77084339186339
01/10/2024,5.807843037459284
01/09/2024,5.837240923589137
01/08/2024,5.8863674052530195
01/05/2024,6.0359212788994325
01/04/2024,6.0117581329202325
01/03/2024,5.967780686114589
01/02/2024,5.946068777457961
12/29/2023,5.937611453609823
12/28/2023,5.9270206910610534
12/27/2023,5.979547694316102
12/22/2023,5.9434910376938435
12/21/2023,5.904888551165147
12/20/2023,5.919259775651182
12/19/2023,5.914280247464761
12/18/2023,5.885701995217551
12/15/2023,5.8149281786199625
12/14/2023,5.948216428772055
12/13/2023,5.75740882172503
12/12/2023,5.784506883180444
12/11/2023,5.862536229156473
12/08/2023,5.869927667949505
12/07/2023,5.787197123062027
12/06/2023,5.865802228236923
12/05/2023,5.945646285073518
12/04/2023,5.958137127419172
12/01/2023,6.063755624564294
11/30/2023,6.061181114316077
11/29/2023,5.981091664871304
11/28/2023,6.026159877193206
11/27/2023,5.989711389340697
11/24/2023,6.008448395435344
11/23/2023,5.9332122047490765
11/22/2023,5.808505601036722
11/21/2023,5.970981443660649
11/20/2023,6.003823852844148
11/17/2023,5.934235207890781
11/16/2023,5.816538141539073
11/15/2023,6.002166307690392
11/14/2023,6.000998190779213
11/13/2023,5.943957324176835
11/10/2023,5.831990822105058
11/09/2023,5.838246131171702
11/08/2023,5.866189650721056
11/07/2023,5.915373453677971
11/06/2023,6.089628427351911
11/03/2023,6.0631753536903865
11/02/2023,6.07078934872338
11/01/2023,5.993817057646845
10/31/2023,6.095741713259997
10/30/2023,6.395327658851099
10/27/2023,6.445537938156855
10/26/2023,6.462860947999274
10/25/2023,6.4951471642189915
10/24/2023,6.49939797866777
10/23/2023,6.50515816750599
10/20/2023,6.629632781066527
10/19/2023,6.714514718740892
10/18/2023,6.779002101733626
10/17/2023,6.764580413187884
10/16/2023,6.694877016694511
10/13/2023,6.648377659897306
10/12/2023,6.5465069421548145
10/11/2023,6.400934981853971
10/10/2023,6.4403370414433425
10/09/2023,6.35465393211769
10/06/2023,6.190388735843282
10/05/2023,6.068510141543849
10/04/2023,6.0654085300689795
10/03/2023,6.223455598455598
10/02/2023,6.303505725492101
09/29/2023,6.484758255436508
09/28/2023,6.604337796438466
09/27/2023,6.541704123035059
09/26/2023,6.4566737610215865
09/25/2023,6.436767578125
09/22/2023,6.442717780283346
09/21/2023,6.398544220530917
09/20/2023,6.487116245057819
09/19/2023,6.501406077724509
09/18/2023,6.4349011588275395
09/15/2023,6.488819436693083
09/14/2023,6.504337466026286
09/13/2023,6.350674181172912
09/12/2023,6.524642130617644
09/11/2023,6.4802635699700595
09/08/2023,6.452216429266346
09/07/2023,6.419753086419753
09/06/2023,6.447702248384637
09/05/2023,6.425314356777671
09/04/2023,6.331637997400205
09/01/2023,6.310165818255128
08/31/2023,6.178080802960409
08/30/2023,6.227483928457769
08/29/2023,6.127933383800152
08/25/2023,5.980208477410756
08/24/2023,5.983499892610327
08/23/2023,5.985669457395856
08/22/2023,6.0844102107072375
08/21/2023,6.089347779036756
08/18/2023,6.028752610400855
08/17/2023,6.048515596119772
08/16/2023,6.030525591002984
08/15/2023,6.036118646442262
08/14/2023,6.113345938606398
08/11/2023,6.177841565798332
08/10/2023,6.249124817007192
08/09/2023,6.265181285211043
08/08/2023,6.107724999681889
08/07/2023,6.1682839632277835
08/04/2023,6.212564335065963
08/03/2023,6.076887860213139
08/02/2023,6.016183737503334
08/01/2023,6.1388977381331635
07/31/2023,6.2124583585218724
07/28/2023,6.113290040506654
07/27/2023,6.169774919614148
07/26/2023,6.188979839908962
07/25/2023,6.1845861084681255
07/24/2023,6.200566601289595
07/21/2023,6.114580923741229
07/20/2023,6.068023539691106
07/19/2023,6.053008134273523
07/18/2023,5.9941176470588236
07/17/2023,5.918212500981136
07/14/2023,5.9873288210294335
07/13/2023,6.099046471420339
07/12/2023,6.0654693835118
07/11/2023,5.932815138507548
07/10/2023,5.830479342235219
07/07/2023,5.820638852170788
07/06/2023,5.710460187323909
07/05/2023,5.847120312321171
07/04/2023,5.983509562163606
07/03/2023,5.9724213170279965
06/30/2023,5.8246813485659095
06/29/2023,5.736774388859457
06/28/2023,5.753795204327986
06/27/2023,5.769892555347379
06/26/2023,5.838431891321215
06/23/2023,5.777955697891647
06/22/2023,5.859499394942996
06/21/2023,5.906313645621181
06/20/2023,5.782286929827913
06/19/2023,5.9044840294840295
06/16/2023,5.8921566113689385
06/15/2023,5.865839809108194
06/14/2023,5.854163228517385
06/13/2023,5.861547191223757
06/12/2023,5.785465050838555
06/09/2023,5.8983357862560855
06/08/2023,5.931182471859353
06/07/2023,5.901588290252258
06/06/2023,5.850040345105828
06/05/2023,5.873914825440589
06/02/2023,5.918204389215356
06/01/2023,5.779369591624611
05/31/2023,5.61480435509643
05/30/2023,5.787430385870037
05/26/2023,5.8785099721421
05/25/2023,5.854256800897336
05/24/2023,6.018730437579642
05/23/2023,6.0653110909610355
05/22/2023,5.983006844465423
05/19/2023,5.998978154946602
05/18/2023,5.965045121088368
05/17/2023,5.968482519402092
05/16/2023,5.943505788034317
05/15/2023,6.029012353405009
05/12/2023,6.021768130758394
05/11/2023,5.977601201276356
05/10/2023,6.145906934490764
05/09/2023,6.163735459614949
05/05/2023,6.218892903160607
05/04/2023,5.987459633338777
05/03/2023,6.111285364782636
05/02/2023,6.08270536214735
04/28/2023,6.71820981834182
04/27/2023,6.541157070221245
04/26/2023,6.65003430424749
04/25/2023,6.5660199474023715
04/24/2023,6.6480718225852655
04/21/2023,6.577885892296426
04/20/2023,6.607567513726857
04/19/2023,6.661772574002414
04/18/2023,6.7650676506765075
04/17/2023,6.723042306455999
04/14/2023,6.721916429556552
04/13/2023,6.746483988528346
04/12/2023,6.725915215575803
04/11/2023,6.673377325429668
04/06/2023,6.613450706852176
04/05/2023,6.653452015857581
04/04/2023,6.586459777869395
04/03/2023,6.596904024767802
03/31/2023,6.319279493269991
03/30/2023,6.349206349206349
03/29/2023,6.289191952791022
03/28/2023,6.2679750663457385
03/27/2023,6.089900873491021
03/24/2023,5.9450604530617746
03/23/2023,6.147000456063799
03/22/2023,6.169351386391711
03/21/2023,6.13850037191947
03/20/2023,5.975826737836678
03/17/2023,5.8414371432396575
03/16/2023,5.843841224850708
03/15/2023,5.857227081854388
03/14/2023,6.44886950394246
03/13/2023,6.350884869700505
03/10/2023,6.623730612441808
03/09/2023,6.636640930321228
03/08/2023,6.61532993721123
03/07/2023,6.62137810025134
03/06/2023,6.73019081306095
03/03/2023,6.651255270218474
03/02/2023,6.702816329455605
03/01/2023,6.614659711036854
02/28/2023,6.669655189125009
02/27/2023,6.712442429562644
02/24/2023,6.573005519317611
02/23/2023,6.576574410272441
02/22/2023,6.507340965846715
02/21/2023,6.669737113214636
02/20/2023,6.7171273510547405
02/17/2023,6.716731246775993
02/16/2023,6.818509442121955
02/15/2023,6.724173144154642
02/14/2023,6.806416332482684
02/13/2023,6.761855082309269
02/10/2023,6.758469206724675
02/09/2023,6.6311836972768035
02/08/2023,6.434950518947622
02/07/2023,6.201289733767248
02/06/2023,5.749606355998413
02/03/2023,5.878546721172686
02/02/2023,5.876000196357568
02/01/2023,6.062042223179664
01/31/2023,6.021729222354984
01/30/2023,6.087919429872316
01/27/2023,6.058242329693187
01/26/2023,5.985758789497107
01/25/2023,5.86418609247798
01/24/2023,5.860555165057403
01/23/2023,5.949243352264992
01/20/2023,5.8914930233134
01/19/2023,5.868535894868276
01/18/2023,6.01397736409178
01/17/2023,5.949910993800257
01/16/2023,5.870578758512949
01/13/2023,5.9111046022040785
01/12/2023,5.901751055622482
01/11/2023,5.802434706695443
01/10/2023,5.7786102630842775
