Pricing Date,EXE | Share Price (Daily)($)
12/11/2023,50.17189514396219
12/08/2023,50.747231480485965
12/07/2023,51.03031610745496
12/06/2023,50.83648138154345
12/05/2023,50.83648138154345
12/04/2023,50.86029650470728
12/01/2023,51.0481155642446
11/30/2023,51.80499509215836
11/29/2023,51.985084448343926
11/28/2023,52.192066805845506
11/27/2023,52.46475024592851
11/24/2023,52.274715660542434
11/23/2023,52.235550708833145
11/22/2023,52.16257335361878
11/21/2023,52.99967216697629
11/20/2023,48.47357478936426
11/17/2023,47.681254082299155
11/16/2023,47.03454268955029
11/15/2023,47.14828897338403
11/14/2023,46.55958324289126
11/13/2023,45.45940742325382
11/10/2023,45.45454545454545
11/09/2023,45.84895554365292
11/08/2023,46.58385093167702
11/07/2023,46.275515656727585
11/06/2023,46.61654135338346
11/03/2023,47.0360824742268
11/02/2023,46.70912951167728
11/01/2023,46.69547802255718
10/31/2023,47.33227680929741
10/30/2023,44.98673740053051
10/27/2023,44.592733820569855
10/26/2023,44.43976411120472
10/25/2023,42.981156044886724
10/24/2023,44.89623041084286
10/23/2023,45.744680851063826
10/20/2023,45.54602266709035
10/19/2023,45.79587519830777
10/18/2023,45.50721584325293
10/17/2023,46.04149026248942
10/16/2023,45.87639738451803
10/13/2023,45.669291338582674
10/12/2023,46.10677358092425
10/11/2023,46.70912951167728
10/10/2023,46.7557251908397
10/09/2023,46.50427080037962
10/06/2023,46.53622421998942
10/05/2023,47.58896609812592
10/04/2023,47.18864950078823
10/03/2023,47.713717693836976
10/02/2023,48.13452443510247
09/29/2023,49.00508044030483
09/28/2023,48.92223161453931
09/27/2023,47.96970334525563
09/26/2023,50.12690355329949
09/25/2023,50.9372021603304
09/22/2023,52.00341005967604
09/21/2023,52.35657922798039
09/20/2023,52.73877157251582
09/19/2023,52.766502883999145
09/18/2023,53.300576799829095
09/15/2023,54.204011950490816
09/14/2023,54.4
09/13/2023,55.012356290963794
09/12/2023,55.35886707434824
09/11/2023,55.024180548092424
09/08/2023,55.28176558817228
09/07/2023,55.002675227394334
09/06/2023,54.43634804972139
09/05/2023,53.996143132633385
09/04/2023,53.931614712544494
09/01/2023,53.10880829015544
08/31/2023,53.687635574837316
08/30/2023,53.794008309643566
08/29/2023,53.784428540446754
08/28/2023,53.59265262020529
08/25/2023,53.54449472096531
08/24/2023,53.82865807429872
08/23/2023,54.03645833333333
08/22/2023,53.93380358111774
08/21/2023,53.89221556886227
08/18/2023,53.61609570418706
08/17/2023,53.62776025236593
08/16/2023,53.67077560815971
08/15/2023,53.97137550529881
08/14/2023,54.464090809866846
08/11/2023,54.69691987284884
08/10/2023,55.2985239039436
08/09/2023,54.8967940272288
08/08/2023,54.734537493158186
08/07/2023,55.017605633802816
08/04/2023,56.51837951208743
08/03/2023,56.49841235081573
08/02/2023,57.52405949256343
08/01/2023,56.57894736842105
07/31/2023,59.29027992065242
07/28/2023,59.543499834601384
07/27/2023,59.34718100890208
07/26/2023,59.57258332410585
07/25/2023,58.5505965532479
07/24/2023,56.693610895803346
07/21/2023,56.494661921708186
07/20/2023,56.62059741417744
07/19/2023,56.20871123054529
07/18/2023,55.948769801145936
07/17/2023,55.942484834868566
07/14/2023,55.96134397123272
07/13/2023,55.630176852473696
07/12/2023,55.37640386967641
07/11/2023,54.731289152654135
07/10/2023,54.69522240527183
07/07/2023,54.31449846692948
07/06/2023,53.44340647403868
07/05/2023,54.16576027844246
07/04/2023,54.054054054054056
07/03/2023,54.34308162374509
06/30/2023,54.25764192139738
06/29/2023,54.327708219923785
06/28/2023,54.47003602226831
06/27/2023,55.66513258820951
06/26/2023,55.434308162374506
06/23/2023,54.84818805093045
06/22/2023,55.01972818939062
06/21/2023,54.97152869031976
06/20/2023,54.749700076344205
06/19/2023,54.85139860139861
06/16/2023,54.62093074065982
06/15/2023,54.83941446362247
06/14/2023,54.904513888888886
06/13/2023,54.64953018684523
06/12/2023,54.83870967741935
06/09/2023,54.63540546354054
