Pricing Date,6752 | Share Price (Daily)($),"6752 | Volume (Daily)"
03/22/2024,9.832611108175238,13153600
03/21/2024,9.675356356395953,12982600
03/19/2024,9.607348942097234,10569400
03/18/2024,9.492270771045892,9941300
03/15/2024,9.376803231390651,11162900
03/14/2024,9.318887538814636,8522100
03/13/2024,9.26872533022796,11787400
03/12/2024,9.432748933865836,7920600
03/11/2024,9.507464312956305,12257700
03/08/2024,9.806917816127083,7928400
03/07/2024,9.720908230842007,9843200
03/06/2024,9.773011761083332,9562900
03/05/2024,9.67174677608441,9897300
03/04/2024,9.66893050331601,9376600
03/01/2024,9.760139497118214,14337200
02/29/2024,9.479922318693568,13250200
02/28/2024,9.49291514090113,6166700
02/27/2024,9.567246640826015,11504900
02/26/2024,9.377652801358234,7850900
02/22/2024,9.409646797797219,10558400
02/21/2024,9.498009877397799,6154300
02/20/2024,9.506490039707698,5420200
02/19/2024,9.452557417876955,5531500
02/16/2024,9.435971146423912,11119100
02/15/2024,9.262217607199435,7737400
02/14/2024,9.212396551495106,13826000
02/13/2024,9.539958322825553,10273500
02/09/2024,9.419052402477817,8759900
02/08/2024,9.456130250244353,8918800
02/07/2024,9.666977523685953,10765600
02/06/2024,9.549537380968461,20485500
02/05/2024,9.716566544369632,27384700
02/02/2024,9.319491725369915,10119200
02/01/2024,9.452869034671918,9099400
01/31/2024,9.627411979412308,7912200
01/30/2024,9.535632619372997,6848800
01/29/2024,9.595785168180186,8013700
01/26/2024,9.43147475812831,13857700
01/25/2024,9.305744696707928,12997300
01/24/2024,9.51837820956726,10531300
01/23/2024,9.293492534901105,14348200
01/22/2024,9.503788672511337,8319100
01/19/2024,9.447017051207625,9372500
01/18/2024,9.404261643854126,5694600
01/17/2024,9.371925994798614,10477200
01/16/2024,9.472301262065868,11370800
01/15/2024,9.720259572775042,9089200
01/12/2024,9.810631987223362,15990100
01/11/2024,9.991784760731157,14662800
01/10/2024,9.710403513587702,8459300
01/09/2024,9.769899980605656,11086100
01/05/2024,9.865914977906446,7161900
01/04/2024,9.936959816207763,8102900
12/29/2023,9.906925270640315,6450100
12/28/2023,9.957900406820986,4791000
12/27/2023,9.79245216533352,5435100
12/26/2023,9.700801324782127,4336800
12/25/2023,9.763155676677998,4225100
12/22/2023,9.74678033228937,5947900
12/21/2023,9.699003714961162,9484200
12/20/2023,9.672841610262047,9406400
12/19/2023,9.536007127643284,8212300
12/18/2023,9.628427986071292,9010600
12/15/2023,9.650602324613095,11895400
12/14/2023,9.62869329416417,16692700
12/13/2023,9.832282949340497,7311700
12/12/2023,9.82075406908866,5282800
12/11/2023,9.78122033018449,5607600
12/08/2023,9.871354407891554,10305500
12/07/2023,9.944019367772636,6813400
12/06/2023,9.967205991187035,7466200
12/05/2023,9.870947135216685,9387200
12/04/2023,9.946561875365433,11700200
12/01/2023,10.24618697168629,9078400
11/30/2023,10.350986388114633,12023300
11/29/2023,10.338416020303605,4591300
11/28/2023,10.453292143432988,6674700
11/27/2023,10.425897580493569,5987200
11/24/2023,10.510410119947046,8761000
11/22/2023,10.692597021705872,9457900
11/21/2023,10.758539569658417,15517500
11/20/2023,10.589551283347147,33132800
11/17/2023,9.995993589743591,22672200
11/16/2023,9.425502660263435,7229900
11/15/2023,9.579128037587557,8835900
11/14/2023,9.359981439130292,7602600
11/13/2023,9.182966652373256,7157000
11/10/2023,9.237684737192986,9020400
11/09/2023,9.469446136730856,7138900
11/08/2023,9.31833556619666,9794800
11/07/2023,9.271254791753865,9572800
11/06/2023,9.290467259779353,13837400
11/02/2023,8.95692966019482,12187900
11/01/2023,8.863323448421944,18766900
10/31/2023,8.638097374915862,38795200
10/30/2023,9.63569431312989,10024400
10/27/2023,9.799530745526376,7859700
10/26/2023,9.711866884627142,10070900
10/25/2023,9.890688880144593,8719000
10/24/2023,9.906802671167535,8004500
10/23/2023,9.842467125025031,13291500
10/20/2023,9.928448425464884,18793700
10/19/2023,10.176784523015343,7782300
10/18/2023,10.489580483508272,6583000
10/17/2023,10.585014024308801,6725400
10/16/2023,10.46723098113157,8551900
10/13/2023,10.805934242181236,9218800
10/12/2023,11.039966883437712,6984900
10/11/2023,10.81706580800966,7634800
10/10/2023,10.8918477493766,10222900
10/06/2023,10.356596840383016,12848700
10/05/2023,10.576010660134193,14659300
10/04/2023,10.544384502206965,13932400
10/03/2023,11.167567132764008,10363300
10/02/2023,11.216375908826887,8027900
09/29/2023,11.261231102957915,10257600
09/28/2023,11.62323575885803,8200500
09/27/2023,11.685964794859782,8457200
09/26/2023,11.773871810543424,6659600
09/25/2023,11.946034561530812,7173100
09/22/2023,11.684639574588692,8485800
09/21/2023,11.747151383613675,7820400
09/20/2023,12.015795284443811,11094700
09/19/2023,12.073060967604405,10720500
09/15/2023,12.057404613209014,19081700
09/14/2023,11.60285943382123,7878100
09/13/2023,11.280694614027949,9339100
09/12/2023,11.398005858724538,6022200
09/11/2023,11.342845439650466,5790100
09/08/2023,11.3897299384284,8623500
09/07/2023,11.702460029612725,7269500
09/06/2023,11.743273352792585,7728500
09/05/2023,11.705232648694038,7068900
09/04/2023,11.867207450803663,8341700
09/01/2023,11.788692980835675,10458400
08/31/2023,11.532413669978643,11208500
08/30/2023,11.381015410148615,5566900
08/29/2023,11.359279141104295,4637200
08/28/2023,11.407738846334858,4607500
08/25/2023,11.297774618623215,5716700
08/24/2023,11.56565309904592,11715000
08/23/2023,11.506051996709592,12116800
08/22/2023,10.898266839502616,3902900
08/21/2023,10.777673744711969,4692100
08/18/2023,10.924954206778775,6667400
08/17/2023,10.93021504419326,6080500
08/16/2023,10.986485559442958,4764200
08/15/2023,11.06549203270819,6058600
08/14/2023,10.99441848301113,9106500
08/10/2023,11.429263901391872,6615700
08/09/2023,11.297860929043582,7774000
08/08/2023,11.47451735834834,7676400
08/07/2023,11.737056215616152,4721600
08/04/2023,11.736211978057622,7379300
08/03/2023,11.86609866857874,8411600
08/02/2023,11.85211021974189,11865200
08/01/2023,12.123600050209905,19980200
07/31/2023,12.382681131889626,13305500
07/28/2023,12.086119835623073,11972400
07/27/2023,12.307605050655438,6360800
07/26/2023,12.390275877792977,5941900
07/25/2023,12.45435530187542,5614600
07/24/2023,12.41912878519756,7766200
07/21/2023,12.271584714886888,11307000
07/20/2023,12.024969180449359,4644100
07/19/2023,12.222723593831699,6630000
07/18/2023,12.113855109215606,7838200
07/14/2023,11.931719840766169,8707000
07/13/2023,12.1220237879786,6917300
07/12/2023,11.974294843065536,6099400
07/11/2023,11.83514044224366,6120700
07/10/2023,11.929911329353164,10652000
07/07/2023,12.083254254444233,10558700
07/06/2023,12.264216366158115,8012300
07/05/2023,12.30271033275441,7821800
07/04/2023,12.336790219182255,6547000
07/03/2023,12.41292964507806,9063700
06/30/2023,12.127814088598402,9242300
06/29/2023,11.998174867090228,10346000
06/28/2023,11.923495525223046,9868200
06/27/2023,11.727915145288703,10018100
06/26/2023,11.772331883573102,7717800
06/23/2023,11.647885364496384,12018500
06/22/2023,11.941844756018172,15942200
06/21/2023,11.748262580885926,8223000
06/20/2023,11.682028138727178,7884000
06/19/2023,11.738123521719054,8065900
06/16/2023,11.715826779436059,15567700
