Pricing Date,PIRC | Share Price (Daily)($)
07/18/2023,5.300528030558365
07/17/2023,5.22017524151876
07/14/2023,5.283739746038881
07/13/2023,5.283187821804343
07/12/2023,5.156232625375291
07/11/2023,4.982965161006704
07/10/2023,4.913783635365184
07/07/2023,4.901445466491459
07/06/2023,4.816424071257876
07/05/2023,4.940178377202523
07/04/2023,4.9814734088927635
07/03/2023,4.980357922304671
06/30/2023,4.93886462882096
06/29/2023,4.897114861186718
06/28/2023,4.906669577557035
06/27/2023,4.87617795310103
06/26/2023,4.845045831514623
06/23/2023,4.790510392861029
06/22/2023,4.8772468215694875
06/21/2023,4.854358300481822
06/20/2023,4.896935325553495
06/19/2023,4.993444055944057
06/16/2023,5.0458815818221545
06/15/2023,5.076469303036924
06/14/2023,5.077039930555555
06/13/2023,5.055621557403607
06/12/2023,4.99247311827957
06/09/2023,4.9053559905355995
06/08/2023,4.907876306432496
06/07/2023,4.816400813617386
06/06/2023,4.857845233005557
06/05/2023,4.909480449919657
06/02/2023,4.940999785453766
06/01/2023,4.796006012454369
05/31/2023,4.697857827986785
05/30/2023,4.87778730703259
05/29/2023,4.879511620434829
05/26/2023,4.929894038317457
05/25/2023,4.846632346632346
05/24/2023,4.936504520017219
05/23/2023,5.203619909502263
05/22/2023,5.285667998703964
05/19/2023,5.281141868512111
05/18/2023,5.22666092387208
05/17/2023,5.225722637219876
05/16/2023,5.247094601933312
05/15/2023,5.250054359643401
05/12/2023,5.359470026064292
05/11/2023,5.22275606027517
05/10/2023,5.381997804610317
05/09/2023,5.3489646104963295
05/08/2023,5.426399294843544
05/05/2023,5.3999559277214635
05/04/2023,5.194762323943662
05/03/2023,5.249309010503041
05/02/2023,5.116432337434095
04/28/2023,5.237832468822426
04/27/2023,5.110768213380358
04/26/2023,5.105489892853198
04/25/2023,5.024711696869852
04/24/2023,5.114663726571113
04/21/2023,5.113623888461961
04/20/2023,5.121202149829988
04/19/2023,5.243889071577332
04/18/2023,5.263157894736842
04/17/2023,5.160515396374755
04/14/2023,5.171466256320071
04/13/2023,5.1923076923076925
04/12/2023,5.065876152832674
04/11/2023,5.039292730844794
04/06/2023,4.920825597903243
04/05/2023,4.895708201375996
04/04/2023,5.151780821917807
04/03/2023,5.034828036569439
03/31/2023,5.021729682746632
03/30/2023,4.971646673936751
03/29/2023,4.847795471779872
03/28/2023,4.78044020383823
03/27/2023,4.737466307277628
03/24/2023,4.678356282271945
03/23/2023,4.8545910031586965
03/22/2023,4.817652136383254
03/21/2023,4.856835306781485
03/20/2023,4.771290840921264
03/17/2023,4.675407739047009
03/16/2023,4.715498938428875
03/15/2023,4.5964172813487885
03/14/2023,4.926045016077171
03/13/2023,4.829990346455004
03/10/2023,5.065059726962457
03/09/2023,5.124814893166913
03/08/2023,5.227680929741153
03/07/2023,5.232705733023058
03/06/2023,5.361529424329809
03/03/2023,5.2406190375238495
03/02/2023,5.197242841993638
03/01/2023,5.219850586979722
02/28/2023,5.118895966029724
02/27/2023,5.17321750185401
02/24/2023,5.029542097488922
02/23/2023,5.246822033898305
02/22/2023,5.108441420369976
02/21/2023,5.148863515099776
02/20/2023,5.226033985251683
02/17/2023,5.175943698016636
02/16/2023,5.283945345858241
02/15/2023,5.110447124106285
02/14/2023,5.044542234624879
02/13/2023,4.98017361483228
02/10/2023,4.871849636907305
02/09/2023,5.051069777443286
02/08/2023,4.9940993455637805
02/07/2023,4.977540106951871
02/06/2023,5.1095125617350226
02/03/2023,5.238198589256647
02/02/2023,5.094030177126613
02/01/2023,5.004913200131018
01/31/2023,4.980992722928207
01/30/2023,4.945114661449842
01/27/2023,4.976118106817195
01/26/2023,5.037438958220293
01/25/2023,4.976582071669752
01/24/2023,4.979334348488145
01/23/2023,5.003260869565217
01/20/2023,4.9165583008235805
01/19/2023,4.955207771181868
01/18/2023,5.106014712245781
01/17/2023,5.063728667098726
01/16/2023,5.021645021645021
01/13/2023,4.986476252299037
01/12/2023,5.024337479718766
01/11/2023,4.908074400602086
01/10/2023,4.876476906552095
01/09/2023,4.891993551853841
01/06/2023,4.8312460199533005
01/05/2023,4.674736842105263
01/04/2023,4.691344929995758
01/03/2023,4.506908553950005
01/02/2023,4.357416879795397
12/30/2022,4.279149299989313
12/29/2022,4.363539445628998
12/28/2022,4.313787975355853
12/27/2022,4.329391711942048
12/23/2022,4.332448220924057
12/22/2022,4.265734265734266
12/21/2022,4.323005093378607
12/20/2022,4.258235919234857
12/19/2022,4.27010396774878
12/16/2022,4.234969780511081
12/15/2022,4.2852584556477336
12/14/2022,4.423015450186467
12/13/2022,4.438411583093792
12/12/2022,4.213075060532688
12/09/2022,4.308146274633787
12/08/2022,4.323982282218941
12/07/2022,4.346868114573497
12/06/2022,4.3698716600042085
12/05/2022,4.451450189155107
12/02/2022,4.4804445842508125
12/01/2022,4.540778839088905
11/30/2022,4.3724863359802
11/29/2022,4.334608623720402
11/28/2022,4.392523364485982
11/25/2022,4.391182281376729
11/24/2022,4.353345125377173
11/23/2022,4.271794340209392
11/22/2022,4.276613234689684
11/21/2022,4.213114754098361
11/18/2022,4.319170984455959
11/17/2022,4.208135453231468
11/16/2022,4.285862893997711
11/15/2022,4.336172865156867
11/14/2022,4.325581395348836
11/11/2022,4.2718446601941755
11/10/2022,4.201057125431998
11/09/2022,4.060898402170636
11/08/2022,4.056641806087483
11/07/2022,4.077184563087383
11/04/2022,4.022601110229976
11/03/2022,3.5682217450712477
11/02/2022,3.708818307358453
11/01/2022,3.6758464120027647
10/31/2022,3.775338672995155
10/28/2022,3.790394749925425
10/27/2022,3.8436905834083865
10/26/2022,3.799456357595892
10/25/2022,3.770573566084788
10/24/2022,3.6545113153473663
10/21/2022,3.4484111416241663
10/20/2022,3.524380652772316
10/19/2022,3.4914889454118567
10/18/2022,3.559288731702525
10/17/2022,3.5704474097331236
10/14/2022,3.455803527921255
10/13/2022,3.417634996582365
10/12/2022,3.316841288319752
10/11/2022,3.309674282936315
10/10/2022,3.297140087251575
10/07/2022,3.3101965001466422
10/06/2022,3.3513513513513513
10/05/2022,3.3126293995859215
10/04/2022,3.49113015746462
10/03/2022,3.311362518445647
09/30/2022,3.294763679152775
09/29/2022,3.193983199843719
09/28/2022,3.2999035679845714
09/27/2022,3.3557304665002876
09/26/2022,3.328188307929771
09/23/2022,3.3689839572192515
09/22/2022,3.5558609856666012
09/21/2022,3.708530805687204
09/20/2022,3.771850963939666
09/19/2022,3.7677677677677677
09/16/2022,3.736219683303267
09/15/2022,3.7791104447776114
09/14/2022,3.782
09/13/2022,3.8122873724234543
09/12/2022,3.9712288521932932
09/09/2022,3.8393574297188757
09/08/2022,3.74700956937799
09/07/2022,3.765548810826948
09/06/2022,3.729569093610698
09/05/2022,3.6259920634920633
09/02/2022,3.8623595505617976
09/01/2022,3.7109918505267343
08/31/2022,3.807029912377882
08/30/2022,3.715316037263348
08/29/2022,3.662337662337663
08/26/2022,3.732133933033483
08/25/2022,3.862866254733904
08/24/2022,3.8704849331470763
08/23/2022,3.8992201559688064
08/22/2022,3.8694267515923566
08/19/2022,4.046184738955824
08/18/2022,4.171312721743538
08/17/2022,4.205227295840537
08/16/2022,4.350259489162512
08/12/2022,4.417102430021531
08/11/2022,4.431020239570426
08/10/2022,4.512990373667322
08/09/2022,4.355119157205687
08/08/2022,4.5038323965252935
08/05/2022,4.508429819215925
08/04/2022,4.353964194373402
08/03/2022,4.338570704510897
08/02/2022,4.176608544916896
08/01/2022,4.291144442161495
07/29/2022,4.292125662994696
07/28/2022,4.054466009551875
07/27/2022,3.969604863221885
07/26/2022,4.07392405063291
07/25/2022,4.216276932502808
07/22/2022,4.208750766714373
07/21/2022,4.198247758761206
07/20/2022,4.254081632653061
07/19/2022,4.303706737661274
